"player_name","MP","G","GS","FG","x3P","x2P","FT","PTS"
"Aaron Gordon",2633,78,78,470,121,349,185,1246
"Aaron Holiday",646,50,50,105,43,62,41,294
"Abdel Nader",694,61,61,91,32,59,27,241
"Al-Farouq Aminu",2292,81,81,257,96,161,150,760
"Al Horford",1973,68,68,387,73,314,78,925
"Alan Williams",26,5,5,8,0,8,2,18
"Alec Burks",2750,128,128,384,122,262,232,1122
"Alex Abrines",588,31,31,56,41,15,12,165
"Alex Caruso",531,25,25,77,24,53,51,229
"Alex Len",1544,77,77,320,74,246,140,854
"Alex Poythress",305,21,21,40,9,31,18,107
"Alfonzo McKinnie",1003,72,72,134,42,92,27,337
"Alize Johnson",64,14,14,4,1,3,4,13
"Allen Crabbe",1133,43,43,137,98,39,41,413
"Allonzo Trier",1459,64,64,232,52,180,179,695
"Amile Jefferson",68,12,12,10,0,10,7,27
"Amir Johnson",529,51,51,79,12,67,31,201
"Andre Drummond",2647,79,79,561,5,556,243,1370
"Andre Iguodala",1578,68,68,151,48,103,39,389
"Andre Ingram",15,4,4,0,0,0,0,0
"Andrew Bogut",134,11,11,18,0,18,3,39
"Andrew Harrison",374,34,34,32,10,22,34,108
"Andrew Wiggins",2543,73,73,498,118,380,207,1321
"Anfernee Simons",141,20,20,28,10,18,9,75
"Ángel Delgado",15,2,2,1,0,1,1,3
"Ante Žižic",1082,59,59,183,0,183,93,459
"Anthony Davis",1850,56,56,530,48,482,344,1452
"Anthony Tolliver",1079,65,65,99,81,18,47,326
"Antonio Blakeney",829,57,57,166,36,130,50,418
"Aron Baynes",821,51,51,105,21,84,53,284
"Austin Rivers",4056,152,152,464,208,256,100,1236
"Avery Bradley",3810,126,126,496,172,324,86,1250
"B.J. Johnson",98,14,14,18,6,12,4,46
"Bam Adebayo",1913,82,82,280,3,277,166,729
"Ben McLemore",158,19,19,25,17,8,8,75
"Ben Simmons",2700,79,79,540,0,540,257,1337
"Billy Garrett",63,4,4,11,0,11,4,26
"Bismack Biyombo",783,54,54,89,0,89,58,236
"Blake Griffin",2622,75,75,619,189,430,414,1841
"Boban Marjanovic",1362,116,116,320,8,312,196,844
"Bobby Portis",2598,100,100,558,150,408,154,1420
"Bogdan Bogdanovic",1947,70,70,361,134,227,134,990
"Bojan Bogdanovic",2573,81,81,522,164,358,246,1454
"Bonzie Colson",98,8,8,13,5,8,8,39
"Brad Wanamaker",343,36,36,50,16,34,24,140
"Bradley Beal",3028,82,82,764,209,555,362,2099
"Brandon Goodwin",57,16,16,6,2,4,9,23
"Brandon Ingram",1760,52,52,362,31,331,195,950
"Brandon Knight",1472,78,78,198,82,116,54,532
"Brandon Sampson",214,14,14,28,11,17,4,71
"Brook Lopez",2322,81,81,355,187,168,112,1009
"Bruce Brown",1449,74,74,125,24,101,45,319
"Bruno Caboclo",800,34,34,96,48,48,42,282
"Bryn Forbes",2293,82,82,361,176,185,69,967
"Buddy Hield",2615,82,82,623,278,345,171,1695
"C.J. Miles",1712,106,106,224,134,90,96,678
"C.J. Williams",128,15,15,17,5,12,0,39
"Caleb Swanigan",356,42,42,36,2,34,12,86
"Cameron Payne",1424,80,80,192,50,142,66,500
"Cameron Reynolds",259,19,19,33,21,12,8,95
"Caris LeVert",1063,40,40,207,48,159,85,547
"Carmelo Anthony",294,10,10,49,21,28,15,134
"Cedi Osman",2444,76,76,360,130,230,141,991
"Chandler Hutchison",895,44,44,96,14,82,23,229
"Chandler Parsons",496,25,25,68,29,39,22,187
"Channing Frye",341,36,36,43,32,11,11,129
"Chasson Randle",743,49,49,91,46,45,43,271
"Cheick Diallo",896,64,64,168,1,167,50,387
"Chimezie Metu",145,29,29,19,0,19,13,51
"Chris Boucher",163,28,28,34,12,22,13,93
"Chris Chiozza",33,7,7,2,2,0,0,6
"Chris Paul",1857,58,58,302,127,175,175,906
"Christian Wood",502,42,42,122,18,104,82,344
"CJ McCollum",2375,70,70,571,167,404,159,1468
"Clint Capela",2249,67,67,474,0,474,166,1114
"Cody Zeller",1243,49,49,190,6,184,111,497
"Collin Sexton",2605,82,82,519,119,400,214,1371
"Corey Brewer",984,62,62,106,28,78,62,302
"Cory Joseph",2063,82,82,226,55,171,30,537
"Courtney Lee",856,68,68,106,32,74,28,272
"Cristiano Felício",746,60,60,95,0,95,50,240
"D'Angelo Russell",2448,81,81,659,234,425,160,1712
"D.J. Augustin",2269,81,81,318,131,187,181,948
"D.J. Stephens",7,1,1,1,0,1,0,2
"D.J. Wilson",882,48,48,104,46,58,26,280
"Dairis Bertans",167,12,12,12,10,2,0,34
"Damian Jones",410,24,24,53,0,53,24,130
"Damian Lillard",2838,80,80,681,237,444,468,2067
"Damion Lee",375,32,32,56,27,29,19,158
"Damyean Dotson",2004,73,73,290,126,164,73,779
"Daniel Hamilton",204,19,19,23,8,15,3,57
"Daniel Theis",908,66,66,146,26,120,56,374
"Danilo Gallinari",2059,68,68,409,161,248,367,1346
"Danny Green",2216,80,80,293,198,95,37,821
"Dante Cunningham",928,64,64,75,30,45,14,194
"Dante Exum",664,42,42,101,18,83,68,288
"Danuel House",979,39,39,118,74,44,56,366
"Dario Šaric",4046,162,162,608,236,372,264,1716
"Darius Miller",1757,69,69,189,133,56,56,567
"Darren Collison",2143,76,76,308,79,229,158,853
"Daryl Macon",90,8,8,10,5,5,4,29
"David Nwaba",984,51,51,126,24,102,58,334
"Davis Bertans",1632,76,76,204,145,59,53,606
"Davon Reed",47,10,10,5,2,3,0,12
"De'Aaron Fox",2546,81,81,505,86,419,303,1399
"De'Anthony Melton",984,50,50,100,29,71,21,250
"DeAndre' Bembry",1931,82,82,275,50,225,87,687
"Deandre Ayton",2183,71,71,509,0,509,141,1159
"DeAndre Jordan",4094,138,138,572,0,572,372,1516
"Delon Wright",3398,150,150,484,100,384,238,1306
"DeMar DeRozan",2688,77,77,631,7,624,366,1635
"DeMarcus Cousins",771,30,30,178,26,152,106,488
"DeMarre Carroll",1703,67,67,227,106,121,184,744
"Demetrius Jackson",39,6,6,8,2,6,4,22
"Deng Adel",194,19,19,11,6,5,4,32
"Dennis Schröder",2314,79,79,457,124,333,186,1224
"Dennis Smith",3016,106,106,556,134,422,198,1444
"Deonte Burton",240,32,32,33,8,25,8,82
"Derrick Favors",1766,76,76,363,17,346,154,897
"Derrick Jones",1153,60,60,160,28,132,74,422
"Derrick Rose",1392,51,51,363,54,309,137,917
"Derrick White",1728,67,67,260,48,212,95,663
"DeVaughn Akoon-Purcell",22,7,7,3,0,3,1,7
"Devin Booker",2242,64,64,586,135,451,393,1700
"Devin Harris",1071,68,68,132,62,70,102,428
"Devin Robinson",95,7,7,19,0,19,9,47
"Devonte' Graham",676,46,46,74,34,40,35,217
"Dewayne Dedmon",1609,64,64,259,83,176,92,693
"Deyonta Davis",118,9,9,15,0,15,6,36
"Dillon Brooks",330,18,18,49,15,34,22,135
"Dion Waiters",1138,44,44,198,109,89,22,527
"Dirk Nowitzki",795,51,51,135,64,71,39,373
"Domantas Sabonis",1838,74,74,413,9,404,208,1043
"Donatas Motiejunas",13,3,3,3,0,3,0,6
"Donovan Mitchell",2598,77,77,661,188,473,319,1829
"Donte DiVincenzo",411,27,27,50,22,28,9,131
"Donte Grantham",2,3,3,0,0,0,0,0
"Dorian Finney-Smith",1985,81,81,228,79,149,73,608
"Doug McDermott",1340,77,77,207,84,123,66,564
"Dragan Bender",826,46,46,88,22,66,32,230
"Draymond Green",2065,66,66,188,47,141,63,486
"Drew Eubanks",113,23,23,15,0,15,11,41
"Duncan Robinson",161,15,15,18,10,8,4,50
"Dusty Hannahs",26,2,2,3,0,3,2,8
"Dwayne Bacon",759,43,43,122,38,84,34,316
"Dwight Howard",230,9,9,43,0,43,29,115
"Dwight Powell",1662,77,77,290,39,251,196,815
"Dwyane Wade",1885,72,72,416,86,330,165,1083
"Džanan Musa",39,9,9,9,1,8,0,19
"E'Twaun Moore",1463,53,53,256,76,180,45,633
"Ed Davis",1446,81,81,186,0,186,100,472
"Edmond Sumner",210,23,23,22,7,15,15,66
