"Rk","Team","G","MP","FG","FGA","FGp","x3P","x3PA","x3Pp","x2P","x2PA","x2Pp","FT","FTA","FTp","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","x3PAr","TSp","eFGp","TOVp","ORBp","FT_per_FGA","DRBp","PTS_pmp","AST_pmp","FG_pmp","x3P_pmp","x2P_pmp","FT_pmp","STL_pmp","BLK_pmp","TOV_pmp","ORB_pmp","DRB_pmp","TRB_pmp","PF_pmp"
1,"Milwaukee Bucks",82,19780,3555,7471,0.476,1105,3134,0.353,2450,4337,0.565,1471,1904,0.773,762,3316,4078,2136,615,486,1137,1608,9686,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,80.3,0.489686552072801,0.10798786653185,0.377704752275025,0.0558645096056623,0.123862487360971,0.0962588473205258,0.0310920121334681,0.0245702730030334,0.0574823053589484,0.0385237613751264,0.167644084934277,0.206167846309403,0.0812942366026289
2,"Golden State Warriors",82,19805,3612,7361,0.491,1087,2824,0.385,2525,4537,0.557,1339,1672,0.801,797,2990,3787,2413,625,525,1169,1757,9650,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,77.1,0.487250694269124,0.121837919717243,0.371673819742489,0.0548851300176723,0.12749305730876,0.0844231254733653,0.0315576874526635,0.0265084574602373,0.0590254986114618,0.0402423630396365,0.150971976773542,0.191214339813178,0.0887149709669275
3,"New Orleans Pelicans",82,19755,3581,7563,0.473,842,2449,0.344,2739,5114,0.536,1462,1921,0.761,909,2969,3878,2216,610,441,1215,1732,9466,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,76.8,0.479169830422678,0.112174133130853,0.382839787395596,0.0426221209820299,0.138648443432043,0.097241204758289,0.0308782586686915,0.0223234624145786,0.061503416856492,0.0460136674259681,0.150291065553025,0.196304732978993,0.0876740065806125
4,"Philadelphia 76ers",82,19805,3407,7233,0.471,889,2474,0.359,2518,4759,0.529,1742,2258,0.771,892,3025,3917,2207,606,432,1223,1745,9445,51,31,48,34,2.7,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,78.6,0.47689977278465,0.111436505932845,0.365210805352184,0.0448876546326685,0.127139611209291,0.114011613228983,0.0305983337541025,0.021812673567281,0.0617520828073719,0.0450391315324413,0.152739207270891,0.197778338803332,0.0881090633678364
5,"Los Angeles Clippers",82,19830,3384,7178,0.471,821,2118,0.388,2563,5060,0.507,1853,2340,0.792,796,2936,3732,1970,561,385,1193,1913,9442,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,76,0.476147251638931,0.0993444276348966,0.361976802824004,0.0414019162884518,0.129248613212305,0.118003025718608,0.0282904689863843,0.0194150277357539,0.0601613716591024,0.0401412002017146,0.148058497226425,0.188199697428139,0.0964699949571357
6,"Portland Trail Blazers",82,19855,3470,7427,0.467,904,2520,0.359,2566,4907,0.523,1558,1914,0.814,967,2968,3935,1887,546,413,1135,1669,9402,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,77.9,0.473533115084362,0.0950390329891715,0.374061949131201,0.0455300931755225,0.129236968018131,0.096398891966759,0.0274993704356585,0.0208008058423571,0.0571644422059935,0.0487030974565601,0.14948375723999,0.19818685469655,0.0840594308738353
7,"Oklahoma City Thunder",82,19855,3497,7706,0.454,932,2677,0.348,2565,5029,0.51,1461,2049,0.713,1031,2911,3942,1917,766,425,1145,1839,9387,49,33,50,32,3.4,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,78.2,0.472777637874591,0.0965499874087132,0.388113825232939,0.0469403173004281,0.129186602870813,0.103198186854697,0.0385797028456308,0.0214051876101738,0.057668093679174,0.0519264668849156,0.146612943842861,0.198539410727776,0.0926215059179048
8,"Toronto Raptors",82,19880,3460,7305,0.474,1015,2771,0.366,2445,4534,0.539,1449,1803,0.804,786,2920,3706,2085,680,437,1150,1724,9384,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,77.1,0.472032193158954,0.104879275653924,0.367454728370221,0.051056338028169,0.122987927565392,0.0906941649899396,0.03420523138833,0.0219818913480885,0.0578470824949698,0.0395372233400402,0.146881287726358,0.186418511066398,0.0867203219315895
9,"Sacramento Kings",82,19730,3541,7637,0.464,927,2455,0.378,2614,5182,0.504,1354,1865,0.726,906,2819,3725,2083,679,363,1095,1751,9363,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,75.5,0.47455651292448,0.105575266092245,0.387075519513431,0.0469842878864673,0.132488596046629,0.0945261023821592,0.0344145970603142,0.0183983781044095,0.055499239736442,0.0459199189052205,0.142878864673087,0.188798783578307,0.0887480993411049
10,"Washington Wizards",82,19930,3456,7387,0.468,930,2731,0.341,2526,4656,0.543,1508,1963,0.768,794,2679,3473,2154,683,379,1154,1701,9350,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.204,74.1,0.469141996989463,0.108078273958856,0.370647265429002,0.0466633216256899,0.126743602609132,0.0984947315604616,0.0342699448068239,0.0190165579528349,0.0579026593075765,0.0398394380331159,0.134420471650778,0.174259909683894,0.0853487205218264
