"player_name","Pos","salary","x3P_pmp","x2P_pmp","FT_pmp","G","exp_PTS_ppl"
"Aaron Gordon","PF",21590909,0.000843517062919544,0.00243295417321422,0.00128967484826542,78,0.0127105425686293
"Aaron Holiday","PG",1914480,0.00497981993641597,0.00718020548971605,0.00474820040448964,50,0.0371638734581421
"Abdel Nader","SF",1378242,0.00321100703719376,0.005920294224826,0.00270928718763223,61,0.0278620434945435
"Al-Farouq Aminu","PF",6957105,0.000883186102220936,0.00148117669226636,0.00137997828472021,81,0.010982389466559
"Al Horford","C",28928710,0.000906314460977338,0.00389839370886143,0.000968390793920992,68,0.0156184645025074
"Alec Burks","SG",11536515,0.000779658939729893,0.00167434952630518,0.00148263011489619,128,0.0111290634516581
"Alex Abrines","SG",3667645,0.00573111897820353,0.00209675084568422,0.00167740067654737,31,0.0270813602814502
"Alex Caruso","PG",77250,0.00411369813209767,0.00908441670838235,0.00874160853070754,25,0.0411600934074848
"Alex Len","C",4350000,0.00150019373576243,0.00498713052699401,0.00283820436495594,77,0.0209066387871812
"Alex Poythress","PF",77250,0.00467576903664764,0.0161054266817863,0.00935153807329527,21,0.057383710192572
"Alfonzo McKinnie","SF",1349383,0.00201770487967074,0.00441973449832639,0.00129709599407405,72,0.0202547100337654
"Allen Crabbe","SG",19332500,0.00368957612995276,0.00146830070477712,0.00154359817681697,43,0.0195544449236326
"Allonzo Trier","SG",3382000,0.00118060054616897,0.00408669419827721,0.00406399034162011,64,0.0189890782735872
"Amir Johnson","C",2393887,0.00207243120026085,0.0115710742014564,0.00535378060067385,51,0.037615111711565
"Andre Drummond","C",25434262,3.44883439997029e-05,0.00383510385276697,0.00167613351838556,79,0.0133504990016838
"Andre Iguodala","SF",1.6e+07,0.000931617117353784,0.00199909506432166,0.00075693890784995,68,0.0117333695241399
"Andrew Harrison","PG",354500,0.00345515086881831,0.00760133191140027,0.0117475129539822,34,0.0382919606605167
"Andrew Wiggins","SF",25467250,0.000881859721564024,0.00283988723893499,0.00154699120647248,73,0.0138234009958704
"Anthony Davis","C",25434263,0.000677810044718416,0.00680634253238077,0.00485763865381532,56,0.0234848904150381
"Anthony Tolliver","PF",5750000,0.00336242301354042,0.000747205114120094,0.00195103557575802,65,0.0174022481897029
"Antonio Blakeney","SG",1349383,0.00253164997218819,0.00914206934401292,0.00351618051692804,57,0.0328416363800955
"Aron Baynes","C",5193600,0.00150571646850316,0.00602286587401266,0.00380014156336513,51,0.0236753483170751
"Austin Rivers","SG",13155324,0.00061105128575182,0.000752063120925317,0.000293774656611452,152,0.00793658235762901
"Avery Bradley","SG",1.2e+07,0.000572649275379852,0.00107871142571553,0.000286324637689926,126,0.00847120182918665
