"player_name","Pos","salary","exp_PTS_ppl"
"Johnathan Motley","PF",77250,0.193204320672203
"Chris Boucher","PF",457418,0.167241882409564
"Drew Eubanks","PF",77250,0.147471114140567
"Malachi Richardson","SG",1569360,0.136424000018617
"Tyler Lydon","PF",1874640,0.129248347191045
"Michael Beasley","PF",3500000,0.11347575384942
"Chimezie Metu","PF",838464,0.112956111512329
"James Nunnally","SF",663255,0.0856915198136209
"Khyri Thomas","SG",838464,0.0796386242535906
"Guerschon Yabusele","PF",2667600,0.0733360324707894
"Edmond Sumner","PG",449794,0.0720606691785406
"Deonte Burton","SG",5e+05,0.0714766261500785
"Jordan McRae","SG",77250,0.0707104749193472
"Christian Wood","PF",1512601,0.065849261544487
"MarShon Brooks","SG",1656092,0.0637190579274691
"Lorenzo Brown","PG",8e+05,0.0628396255891179
"Grayson Allen","SG",2076960,0.0597985575170633
"Isaac Bonga","PG",1e+06,0.0591796102796467
"Brad Wanamaker","PG",838464,0.0591784627181348
"Troy Williams","SF",77250,0.0584162941360227
"Ekpe Udoh","C",3360000,0.0580263370405072
"Kyle O'Quinn","C",4449000,0.0575512270495866
"Alex Poythress","PF",77250,0.057383710192572
"Damion Lee","SG",77250,0.0570008535152556
"Channing Frye","C",2393887,0.056954524669464
"Jerome Robinson","SG",3050160,0.0566745163087017
"Johnathan Williams","C",127250,0.0565468009858603
"Jarell Martin","PF",2416221,0.0551060192869821
"Quincy Pondexter","SF",2165481,0.054300930752655
"Isaiah Hartenstein","PF",838464,0.0537287607544996
"Robert Williams","C",1656600,0.0517914126710991
"Moritz Wagner","C",1764240,0.051739083906788
"Luol Deng","SF",16747954,0.051598932819404
"Frank Mason","PG",1378242,0.0513771204774212
"Raymond Felton","PG",2393887,0.0511839232137037
"Jacob Evans","SG",1646400,0.0510633584242299
"Kevin Love","PF",24119025,0.0509519818974114
"Jon Leuer","PF",10002681,0.0491184208467017
"Georges Niang","PF",1512601,0.0461781570604204
"Salah Mejri","C",2098196,0.0455330498222958
"Jason Smith","C",5450000,0.045264063019393
"Raul Neto","PG",2100000,0.0449127520715054
"Henry Ellenson","PF",2199311,0.043583048263652
"Justin Anderson","SF",2516047,0.0429350016789048
"Ryan Broekhoff","SG",838464,0.0428818474755748
"Omri Casspi","SF",2176260,0.0428314618226783
"DeMarcus Cousins","C",5337000,0.0416015073181006
"Donte DiVincenzo","SG",2484360,0.0412869505605724
"Alex Caruso","PG",77250,0.0411600934074848
"Chandler Parsons","SF",24107258,0.0400002229370675
"Damian Jones","C",1544951,0.039793436067469
"Andrew Harrison","PG",354500,0.0382919606605167
"Amir Johnson","C",2393887,0.037615111711565
"Aaron Holiday","PG",1914480,0.0371638734581421
"Frank Kaminsky","C",3627842,0.0368515903357925
"Caleb Swanigan","PF",1740000,0.0359122967718386
"Hamidou Diallo","SG",838464,0.0357844172574449
"Kosta Koufos","C",8739500,0.0338261885806866
"Dante Exum","PG",10600000,0.0338167642770276
"Antonio Blakeney","SG",1349383,0.0328416363800955
"Furkan Korkmaz","SG",1740000,0.032639919100636
"Harry Giles","PF",2207040,0.0325445787739442
"Jaylen Adams","PG",236854,0.032490143661893
"Jaron Blossomgame","SF",77250,0.0323387572784469
"Keita Bates-Diop","SF",838464,0.0323111027214778
"Dirk Nowitzki","PF",5e+06,0.0321539488442527
"Joakim Noah","C",20261172,0.0320876114694631
"Sindarius Thornwell","SG",1378242,0.0313345165283587
"Troy Daniels","SG",3258539,0.030696473201882
"Khem Birch","C",1378242,0.030471714267425
"Jahlil Okafor","C",1567007,0.0302430875254885
"Dwayne Bacon","SG",1378242,0.0301547991250226
"Tyrone Wallace","PG",1349383,0.0300789741970757
"John Jenkins","SG",585809,0.0299024724065137
"Ivan Rabb","PF",1378242,0.0294958940620255
"John Wall","PG",19169800,0.0293148122502731
"Shabazz Napier","PG",1942422,0.0292243881453134
"Ian Mahinmi","C",1.6e+07,0.0290785577960241
"Semi Ojeleye","PF",1378242,0.0289918641155252
"Glenn Robinson","SF",4075000,0.0289509275820197
"Luke Kornet","PF",1619260,0.0289420125780699
"Thabo Sefolosha","SF",5250000,0.0287236139173661
"Tony Parker","PG",5e+06,0.0286102138482917
"Jonah Bolden","PF",1690000,0.0285472449472041
"Jevon Carter","PG",838464,0.0283443468029989
"Victor Oladipo","SG",2.1e+07,0.028144659365111
"Abdel Nader","SF",1378242,0.0278620434945435
"Mo Bamba","C",4871280,0.0276103288582359
"Jerryd Bayless","PG",8575916,0.0273570317006745
"Greg Monroe","C",2410167,0.0271541564040788
"Chasson Randle","PG",975824,0.0270890057518604
"Alex Abrines","SG",3667645,0.0270813602814502
"Cheick Diallo","PF",1544951,0.0268466764260787
"Caris LeVert","SF",1702800,0.0267761272748227
"Derrick Rose","PG",2176260,0.0263093770931295
"Michael Carter-Williams","PG",1468082,0.0261806825408972
"Quinn Cook","PG",1544951,0.0261718703601355
"Troy Brown","SF",2752680,0.0260916239919197
"Meyers Leonard","C",10595506,0.0260567206717885
"Daniel Theis","C",1378242,0.0254002000993207
"Gorgui Dieng","C",15170787,0.0253020801493968
"Pau Gasol","C",17133285,0.0248828985298159
"Bruno Caboclo","SF",705361,0.0248261059553409
"Isaiah Briscoe","PG",838464,0.0248030204962008
"Trey Lyles","PF",3364249,0.0245635389593889
"Ian Clark","SG",1757429,0.0244492184155437
"Omari Spellman","PF",1622520,0.0240483742648363
"Dion Waiters","SG",12705000,0.0239135645817015
"Aron Baynes","C",5193600,0.0236753483170751
"Malik Monk","SG",3447480,0.0235931865189722
"Marcin Gortat","C",13565218,0.0235044834664573
"Anthony Davis","C",25434263,0.0234848904150381
"Norman Powell","SG",9367200,0.0234289118715425
"Richaun Holmes","C",1600520,0.0228261411706919
"LeBron James","SF",35654150,0.0227604441595756
"Lance Stephenson","SG",4449000,0.0227113887920829
"Danuel House","SF",247827,0.0220824591328053
"Courtney Lee","SG",12253780,0.0218456886830023
"Kawhi Leonard","SF",23114066,0.0217070267805102
"Bismack Biyombo","C",1.7e+07,0.02165692829415
"Gary Clark","PF",674122,0.0216534132493249
"Marvin Bagley","PF",7314960,0.0215326642264947
"Yogi Ferrell","PG",3e+06,0.0215223256044729
"Frank Jackson","PG",1378242,0.0213877605108795
"Treveon Graham","SG",1512601,0.0213582761735719
"Wendell Carter","C",4446840,0.0212301193269684
"Jordan Bell","C",1378242,0.0212062122243488
"Devin Harris","PG",2393887,0.0211965643867465
"Marquese Chriss","PF",3206160,0.0211764366394914
"Joel Embiid","C",25467250,0.0211404888230072
"Kenneth Faried","C",14242782,0.0210660785748323
"Tyreke Evans","SG",12400000,0.0209600871168954
"Alex Len","C",4350000,0.0209066387871812
"Sterling Brown","SG",1378242,0.0208830484965898
"Will Barton","SG",11830358,0.020759813236994
"John Collins","PF",2299080,0.020719659307951
"Sviatoslav Mykhailiuk","SF",1487694,0.0206236430849213
"Mario Hezonja","SF",6500000,0.0205549846730269
"Stephen Curry","PG",37457154,0.0204922445475854
"Giannis Antetokounmpo","PF",24157304,0.0204540501847856
"Jaren Jackson","PF",5922720,0.020285773264933
"Jamal Crawford","SG",4698113,0.0202710490082858
"Alfonzo McKinnie","SF",1349383,0.0202547100337654
"David Nwaba","SG",1512601,0.0202415727497869
"Lauri Markkanen","PF",4536120,0.0202154163293874
"Nerlens Noel","C",1757429,0.0201375128014818
"Thomas Bryant","C",1378242,0.02011097142313
"Dragan Bender","PF",4661280,0.020056662023982
"Rondae Hollis-Jefferson","SF",2470356,0.0200271621815029
"Emmanuel Mudiay","PG",4294479,0.0199689038185527
"Lance Thomas","PF",7119650,0.0199681088027943
"Elie Okobo","PG",1238464,0.019874523883224
"James Harden","PG",30570000,0.0196807373083316
"Devin Booker","SG",3314365,0.0196456478819647
"Tristan Thompson","C",17469565,0.0195654269000243
"Allen Crabbe","SG",19332500,0.0195544449236326
"Kyrie Irving","PG",20099189,0.0195476318123157
"JaVale McGee","C",2393887,0.0194549206308638
"Vince Carter","PF",2393887,0.019435093206621
"Zaza Pachulia","C",2393887,0.0193243690041992
"Rodions Kurucs","SF",1690000,0.0192326714093002
"James Johnson","PF",14420700,0.0191771434479986
"Hassan Whiteside","C",24434262,0.0191595314649807
"Gerald Green","SG",1512601,0.0191198883146273
"Doug McDermott","SF",7333334,0.0190976560878534
"Patrick Patterson","PF",5451600,0.0190178335554931
"Allonzo Trier","SG",3382000,0.0189890782735872
"Derrick Jones","SF",1512601,0.0189669576415721
"Cody Zeller","C",13528090,0.0189249379404323
"Jake Layman","SF",1544951,0.0188802833916328
"Jonas Jerebko","PF",2165481,0.0187751733454014
"Zach LaVine","SG",19500000,0.0187712795251923
"Jeff Teague","PG",1.9e+07,0.0187390919648799
"Frank Ntilikina","PG",4155720,0.0185866514946885
"Corey Brewer","SF",2559925,0.0185791925613142
"Julius Randle","PF",8641000,0.0185702241508121
"Tyler Dorsey","SG",1378242,0.0185626466990912
"Danilo Gallinari","SF",21587579,0.0185229145698854
"Dwyane Wade","SG",2393887,0.0184913341468402
"Seth Curry","SG",2795000,0.0184770247327923
"Domantas Sabonis","C",2659800,0.0184482696742608
"Luke Kennard","SG",3275280,0.0184411581397504
"E'Twaun Moore","SG",8808685,0.0184329489680433
"Spencer Dinwiddie","PG",1656092,0.0183758287776055
"Brandon Ingram","SF",5757120,0.0183322429887163
"Ryan Anderson","PF",20421546,0.0182850501447067
"Michael Kidd-Gilchrist","PF",1.3e+07,0.0182775989218744
"Malcolm Brogdon","SG",1544951,0.0182427595115206
"D'Angelo Russell","PG",7019698,0.0178628583308145
"Chandler Hutchison","SF",1991520,0.0178316095070741
"Jerian Grant","PG",2639313,0.0177210205708528
"Elfrid Payton","PG",3e+06,0.0177163361695364
"Montrezl Harrell","C",6e+06,0.017712724890215
"Kent Bazemore","SG",18089888,0.017701487304698
"Dwight Powell","C",9631250,0.0176515979545512
"Karl-Anthony Towns","C",7839435,0.0176134689806097
"Derrick Favors","C",16900000,0.0176044726864824
"Ron Baker","SG",4697823,0.0174908967061553
"Jordan Clarkson","SG",12500000,0.0174042853844221
"Anthony Tolliver","PF",5750000,0.0174022481897029
"Rudy Gay","PF",10087200,0.0173926370008959
"Serge Ibaka","C",21666667,0.0172430128561884
"Zach Collins","C",3628920,0.0171427817742783
"Shaun Livingston","PG",8307692,0.0171309943089506
"Robin Lopez","C",14357750,0.0171107463046373
"Gary Harris","SG",16517857,0.0170711030701627
"Kris Dunn","PG",4221000,0.0170157936565805
"Pat Connaughton","SG",1641000,0.0169738022423231
"Kevin Durant","SF",3e+07,0.0169507914429582
"Jalen Brunson","PG",1230000,0.0168769827387887
"Dewayne Dedmon","C",6300000,0.0168555422995637
"Donovan Mitchell","SG",3111480,0.0168403066225491
"Terrence Ross","SG",10500000,0.01683470049118
"Malik Beasley","SG",1773840,0.0167670721646235
"Tony Snell","SF",10607143,0.0167481307473444
"Jaylen Brown","SG",5169960,0.0166335132010972
"CJ McCollum","SG",25759766,0.0166021724033153
"De'Anthony Melton","PG",949000,0.0165983223309655
"OG Anunoby","SF",1952760,0.0165527505807601
"Paul George","SF",30560700,0.0165447829358417
"Mike Conley","PG",30521115,0.0165417722996591
"Taj Gibson","PF",1.4e+07,0.0165344098941897
"Blake Griffin","PF",31873932,0.0164941123121825
"Mitchell Robinson","C",1485440,0.0164516899375154
"Chris Paul","PG",35654150,0.0163932317001048
"Kemba Walker","PG",1.2e+07,0.0161503113273861
"Marco Belinelli","SG",6153846,0.0161070019815957
"Buddy Hield","SG",3833760,0.0160540519660433
"Damian Lillard","PG",27977689,0.0159851995078238
"Solomon Hill","SF",12763467,0.0159782419599021
"Brandon Knight","PG",14631250,0.0159399746638111
"DeMarre Carroll","PF",15400000,0.0159053098716738
"Trey Burke","PG",1795015,0.0158814857078793
"Cameron Payne","PG",3440356,0.0158715044697133
"Kenrich Williams","SF",838464,0.0158609351942417
"Jrue Holiday","SG",26641111,0.0157953894138649
"Khris Middleton","SF",1.3e+07,0.0157563313013729
"Deandre Ayton","C",8175840,0.0157386814321126
"Kyle Kuzma","PF",1689840,0.0157217468534711
"Klay Thompson","SG",18988725,0.015712214692227
"Al Horford","C",28928710,0.0156184645025074
"Trae Young","PG",5363280,0.015576762164109
"Paul Millsap","PF",29230769,0.0155704513506182
"Eric Bledsoe","PG",1.5e+07,0.015546389257829
"Eric Gordon","SG",13500375,0.0155142095458539
"Marcus Morris","PF",5375000,0.0155074543088223
"Russell Westbrook","PG",35665000,0.0155022313394232
"Reggie Jackson","PG",17043478,0.01548605423247
"Ivica Zubac","C",1544951,0.0154616632661666
"Lonzo Ball","PG",7461960,0.0153905250794278
"Kelly Olynyk","PF",13537527,0.0153400478634921
"Nemanja Bjelica","PF",6500000,0.0153148601963195
"Jeremy Lamb","SG",7e+06,0.0152913921119703
"LaMarcus Aldridge","C",22347015,0.0152683416136625
"Sam Dekker","PF",2760094,0.015263135245745
"Gordon Hayward","PF",31214295,0.0152566476920152
"Ricky Rubio","PG",14800000,0.0152135021550915
"Rajon Rondo","PG",9e+06,0.0151848798898623
"Patrick McCaw","SG",964104,0.015171938897563
"Isaiah Canaan","PG",744671,0.0151417716564001
"Dante Cunningham","PF",2487000,0.0150834006490493
"Shaquille Harrison","PG",1325531,0.0150361671453257
"Josh Jackson","SG",6041520,0.0150226974261445
"Jamal Murray","PG",3499800,0.0149994805104105
"Kevon Looney","C",1567007,0.0149984336963612
"Wesley Johnson","SF",6134000,0.0149513295580974
"Fred VanVleet","PG",8653847,0.0149121477141901
"Bradley Beal","SG",25434262,0.0149119963577773
"Kentavious Caldwell-Pope","SG",1.2e+07,0.0148958889557193
"Monte Morris","PG",1349383,0.014779777628217
"Terry Rozier","PG",3050389,0.0147678863478458
"Langston Galloway","SG",7e+06,0.0147134637440824
"Derrick White","PG",1667160,0.0146871130630201
"Ed Davis","C",4449000,0.01462208008129
"DeMar DeRozan","SG",27739975,0.0146074790903974
"Clint Capela","C",15793104,0.0145768494085824
"Justise Winslow","SF",3448926,0.0145510190978944
"Myles Turner","C",3294994,0.0145303606669802
"Maxi Kleber","PF",1378242,0.0144443536781641
"Wesley Iwundu","SF",1378242,0.0143889730614728
"Matthew Dellavedova","PG",9607500,0.0142984120102876
"Kyle Anderson","SF",8641000,0.0142754538858396
"Bobby Portis","PF",2494346,0.0142575645570174
"Rodney McGruder","SG",1544951,0.014231110103543
"Jeff Green","PF",2393887,0.0142120977900262
"De'Aaron Fox","PG",5470920,0.0141639996519513
"Miles Bridges","SF",3206640,0.0141594228504975
"Mason Plumlee","C",12917808,0.0141434928649882
"Pascal Siakam","PF",1544951,0.0139616683973105
"Jayson Tatum","SF",6700800,0.0139141975367137
"Kevin Knox","PF",3744840,0.013908993246872
"Andrew Wiggins","SF",25467250,0.0138234009958704
"Jae Crowder","SF",7305825,0.0137828533804315
"Collin Sexton","PG",4073760,0.0137213378008028
"Joe Harris","SG",8333333,0.0136908157891119
"Damyean Dotson","SG",1378242,0.0135345842292874
"Willie Cauley-Stein","C",4696874,0.0135136228334709
"Jared Dudley","PF",9530000,0.0134320785069215
"Larry Nance","C",2272390,0.0133823986206762
"Nik Stauskas","SG",2161886,0.0133802142119743
"Bam Adebayo","C",2955840,0.0133713390828476
"Tyus Jones","PG",2444052,0.0133624597535531
"Jarrett Allen","C",2034120,0.0133555825547359
"Andre Drummond","C",25434262,0.0133504990016838
"Torrey Craig","SF",2e+06,0.0133045896214969
"Evan Turner","PG",17868853,0.0132519674374061
"Evan Fournier","SG",1.7e+07,0.0132035054552365
"Noah Vonleh","PF",1621415,0.0131737190624197
"Brook Lopez","C",3382000,0.0131664831659818
