"player_name","Pos","G"
"Aaron Gordon","PF",78
"Aaron Holiday","PG",50
"Abdel Nader","SF",61
"Al-Farouq Aminu","PF",81
"Al Horford","C",68
"Alan Williams","PF",5
"Alec Burks","SG",128
"Alex Abrines","SG",31
"Alex Caruso","PG",25
"Alex Len","C",77
"Alex Poythress","PF",21
"Alfonzo McKinnie","SF",72
"Alize Johnson","PF",14
"Allen Crabbe","SG",43
"Allonzo Trier","SG",64
"Amile Jefferson","PF",12
"Amir Johnson","C",51
"Andre Drummond","C",79
"Andre Iguodala","SF",68
"Andre Ingram","SG",4
"Andrew Bogut","C",11
"Andrew Harrison","PG",34
"Andrew Wiggins","SF",73
"Anfernee Simons","SG",20
"Ángel Delgado","C",2
"Ante Žižic","C",59
"Anthony Davis","C",56
"Anthony Tolliver","PF",65
"Antonio Blakeney","SG",57
"Aron Baynes","C",51
"Austin Rivers","SG",152
"Avery Bradley","SG",126
"B.J. Johnson","SF",14
"Bam Adebayo","C",82
"Ben McLemore","SG",19
"Ben Simmons","PG",79
"Billy Garrett","SG",4
"Bismack Biyombo","C",54
"Blake Griffin","PF",75
"Boban Marjanovic","C",116
"Bobby Portis","PF",100
"Bogdan Bogdanovic","SG",70
"Bojan Bogdanovic","SF",81
"Bonzie Colson","SF",8
"Brad Wanamaker","PG",36
"Bradley Beal","SG",82
"Brandon Goodwin","PG",16
"Brandon Ingram","SF",52
"Brandon Knight","PG",78
"Brandon Sampson","SG",14
"Brook Lopez","C",81
"Bruce Brown","SG",74
"Bruno Caboclo","SF",34
"Bryn Forbes","SG",82
"Buddy Hield","SG",82
"C.J. Miles","SF",106
"C.J. Williams","SG",15
"Caleb Swanigan","PF",42
"Cameron Payne","PG",80
"Cameron Reynolds","SG",19
"Caris LeVert","SF",40
"Carmelo Anthony","PF",10
"Cedi Osman","SF",76
"Chandler Hutchison","SF",44
"Chandler Parsons","SF",25
"Channing Frye","C",36
"Chasson Randle","PG",49
"Cheick Diallo","PF",64
"Chimezie Metu","PF",29
"Chris Boucher","PF",28
"Chris Chiozza","PG",7
"Chris Paul","PG",58
"Christian Wood","PF",42
"CJ McCollum","SG",70
"Clint Capela","C",67
"Cody Zeller","C",49
"Collin Sexton","PG",82
"Corey Brewer","SF",62
"Cory Joseph","PG",82
"Courtney Lee","SG",68
"Cristiano Felício","C",60
"D'Angelo Russell","PG",81
"D.J. Augustin","PG",81
"D.J. Stephens","SG",1
"D.J. Wilson","PF",48
"Dairis Bertans","SG",12
"Damian Jones","C",24
"Damian Lillard","PG",80
"Damion Lee","SG",32
"Damyean Dotson","SG",73
"Daniel Hamilton","SG",19
"Daniel Theis","C",66
"Danilo Gallinari","SF",68
"Danny Green","SG",80
"Dante Cunningham","PF",64
"Dante Exum","PG",42
"Danuel House","SF",39
"Dario Šaric","PF",162
"Darius Miller","SF",69
"Darren Collison","PG",76
"Daryl Macon","SG",8
"David Nwaba","SG",51
"Davis Bertans","PF",76
"Davon Reed","SG",10
"De'Aaron Fox","PG",81
"De'Anthony Melton","PG",50
"DeAndre' Bembry","SG",82
"Deandre Ayton","C",71
"DeAndre Jordan","C",138
"Delon Wright","PG",150
"DeMar DeRozan","SG",77
"DeMarcus Cousins","C",30
"DeMarre Carroll","PF",67
"Demetrius Jackson","PG",6
"Deng Adel","SF",19
"Dennis Schröder","PG",79
"Dennis Smith","PG",106
"Deonte Burton","SG",32
"Derrick Favors","C",76
"Derrick Jones","SF",60
"Derrick Rose","PG",51
"Derrick White","PG",67
"DeVaughn Akoon-Purcell","SG",7
"Devin Booker","SG",64
"Devin Harris","PG",68
"Devin Robinson","SF",7
"Devonte' Graham","PG",46
"Dewayne Dedmon","C",64
"Deyonta Davis","C",9
"Dillon Brooks","SF",18
"Dion Waiters","SG",44
"Dirk Nowitzki","PF",51
"Domantas Sabonis","C",74
"Donatas Motiejunas","PF",3
"Donovan Mitchell","SG",77
"Donte DiVincenzo","SG",27
"Donte Grantham","SF",3
"Dorian Finney-Smith","SF",81
"Doug McDermott","SF",77
"Dragan Bender","PF",46
"Draymond Green","PF",66
"Drew Eubanks","PF",23
"Duncan Robinson","PF",15
"Dusty Hannahs","SG",2
"Dwayne Bacon","SG",43
"Dwight Howard","C",9
"Dwight Powell","C",77
"Dwyane Wade","SG",72
"Džanan Musa","SG",9
"E'Twaun Moore","SG",53
"Ed Davis","C",81
"Edmond Sumner","PG",23
"Ekpe Udoh","C",51
"Elfrid Payton","PG",42
"Elie Okobo","PG",53
"Emanuel Terry","PF",6
"Emmanuel Mudiay","PG",59
"Enes Kanter","C",134
"Eric Bledsoe","PG",78
"Eric Gordon","SG",68
"Eric Moreland","PF",10
"Ersan Ilyasova","PF",67
"Evan Fournier","SG",81
"Evan Turner","PG",73
"Frank Jackson","PG",61
"Frank Kaminsky","C",47
"Frank Mason","PG",38
"Frank Ntilikina","PG",43
"Fred VanVleet","PG",64
"Furkan Korkmaz","SG",48
"Garrett Temple","SG",150
"Gary Clark","PF",51
"Gary Harris","SG",57
"Gary Payton","PG",3
"Gary Trent","SG",15
"George Hill","PG",120
"George King","SF",1
"Georges Niang","PF",59
"Gerald Green","SG",73
"Giannis Antetokounmpo","PF",72
"Glenn Robinson","SF",47
"Goran Dragic","PG",36
"Gordon Hayward","PF",72
"Gorgui Dieng","C",76
"Grayson Allen","SG",38
"Greg Monroe","C",86
"Guerschon Yabusele","PF",41
"Hamidou Diallo","SG",51
"Harrison Barnes","PF-SF",77
"Harry Giles","PF",58
"Hassan Whiteside","C",72
"Haywood Highsmith","SF",5
"Henry Ellenson","PF",38
"Ian Clark","SG",60
"Ian Mahinmi","C",34
"Ike Anigbogu","C",3
"Iman Shumpert","SG",124
"Isaac Bonga","PG",22
"Isaac Humphries","C",5
"Isaiah Briscoe","PG",39
"Isaiah Canaan","PG",60
"Isaiah Hartenstein","PF",28
"Isaiah Hicks","PF",3
"Isaiah Thomas","SG",12
"Ish Smith","PG",56
"Ivan Rabb","PF",49
"Ivica Zubac","C",118
"J.J. Barea","PG",38
"J.J. Redick","SG",76
"J.P. Macura","SG",2
"J.R. Smith","SG",11
"Jabari Parker","PF",128
"Jacob Evans","SG",30
"Jae Crowder","SF",80
"Jahlil Okafor","C",59
"JaKarr Sampson","SF",4
"Jake Layman","SF",71
"Jakob Pöltl","C",77
"Jalen Brunson","PG",73
"Jalen Jones","SF",16
"Jamal Crawford","SG",64
"Jamal Murray","PG",75
"James Ennis","SF",116
"James Harden","PG",78
"James Johnson","PF",55
"James Nunnally","SF",30
"JaMychal Green","PF",130
"Jared Dudley","PF",59
"Jared Terrell","SG",14
"Jarell Martin","PF",42
"Jaren Jackson","PF",58
"Jaron Blossomgame","SF",27
"Jarred Vanderbilt","PF",17
"Jarrett Allen","C",80
"Jason Smith","PF-C",20
"JaVale McGee","C",75
"Jawun Evans","PG",16
"Jaylen Adams","PG",34
"Jaylen Brown","SG",74
"Jaylen Morris","SG",4
"Jayson Tatum","SF",79
"Jeff Green","PF",77
"Jeff Teague","PG",42
"Jemerrio Jones","SF",6
