"player_id","player_name","salary","X4","X5","X6","X7"
1,"Alex Abrines",3667645,NA,NA,NA,NA
2,"Quincy Acy",213948,NA,NA,NA,NA
3,"Steven Adams",24157304,NA,NA,NA,NA
4,"Jaylen Adams",236854,NA,NA,NA,NA
5,"Bam Adebayo",2955840,NA,NA,NA,NA
6,"Deng Adel",77250,NA,NA,NA,NA
7,"Alexis Ajinca",5285394,NA,NA,NA,NA
8,"DeVaughn Akoon-Purcell",77250,NA,NA,NA,NA
9,"Cole Aldrich",2e+06,NA,NA,NA,NA
10,"LaMarcus Aldridge",22347015,NA,NA,NA,NA
11,"Rawle Alkins",77250,NA,NA,NA,NA
12,"Grayson Allen",2076960,NA,NA,NA,NA
13,"Jarrett Allen",2034120,NA,NA,NA,NA
14,"Kadeem Allen",77250,NA,NA,NA,NA
15,"Al-Farouq Aminu",6957105,NA,NA,NA,NA
16,"Ryan Anderson",20421546,NA,NA,NA,NA
17,"Kyle Anderson",8641000,NA,NA,NA,NA
18,"Justin Anderson",2516047,NA,NA,NA,NA
19,"Ike Anigbogu",1349383,NA,NA,NA,NA
20,"Giannis Antetokounmpo",24157304,NA,NA,NA,NA
21,"Kostas Antetokounmpo",77250,NA,NA,NA,NA
22,"Carmelo Anthony",2393887,NA,NA,NA,NA
23,"OG Anunoby",1952760,NA,NA,NA,NA
24,"Ryan Arcidiacono",1349383,NA,NA,NA,NA
25,"Trevor Ariza",1.5e+07,NA,NA,NA,NA
26,"Darrell Arthur",7464912,NA,NA,NA,NA
27,"Omer Asik",11286516,NA,NA,NA,NA
28,"DJ Augustin",7250000,NA,NA,NA,NA
29,"Deandre Ayton",8175840,NA,NA,NA,NA
30,"Dwayne Bacon",1378242,NA,NA,NA,NA
31,"Marvin Bagley",7314960,NA,NA,NA,NA
32,"Ron Baker",4697823,NA,NA,NA,NA
33,"Wade Baldwin",1544951,NA,NA,NA,NA
34,"Lonzo Ball",7461960,NA,NA,NA,NA
35,"Mo Bamba",4871280,NA,NA,NA,NA
36,"Harrison Barnes",24107258,NA,NA,NA,NA
37,"Will Barton",11830358,NA,NA,NA,NA
38,"Keita Bates-Diop",838464,NA,NA,NA,NA
39,"Nicolas Batum",2.4e+07,NA,NA,NA,NA
40,"Jerryd Bayless",8575916,NA,NA,NA,NA
41,"Aron Baynes",5193600,NA,NA,NA,NA
42,"Kent Bazemore",18089888,NA,NA,NA,NA
43,"Bradley Beal",25434262,NA,NA,NA,NA
44,"Michael Beasley",3500000,NA,NA,NA,NA
45,"Malik Beasley",1773840,NA,NA,NA,NA
46,"Marco Belinelli",6153846,NA,NA,NA,NA
47,"Jordan Bell",1378242,NA,NA,NA,NA
48,"DeAndre Bembry",1634640,NA,NA,NA,NA
49,"Dragan Bender",4661280,NA,NA,NA,NA
50,"Davis Bertans",7e+06,NA,NA,NA,NA
51,"Dairis Bertans",194220,NA,NA,NA,NA
52,"Patrick Beverley",5027028,NA,NA,NA,NA
53,"Justin Bibbs",92159,NA,NA,NA,NA
54,"Khem Birch",1378242,NA,NA,NA,NA
55,"Jabari Bird",1349383,NA,NA,NA,NA
56,"Bismack Biyombo",1.7e+07,NA,NA,NA,NA
57,"Nemanja Bjelica",6500000,NA,NA,NA,NA
58,"Antonio Blakeney",1349383,NA,NA,NA,NA
59,"Eric Bledsoe",1.5e+07,NA,NA,NA,NA
60,"Jaron Blossomgame",77250,NA,NA,NA,NA
61,"Trevon Bluiett",77250,NA,NA,NA,NA
62,"Bojan Bogdanovic",10500000,NA,NA,NA,NA
63,"Bogdan Bogdanovic",9e+06,NA,NA,NA,NA
64,"Andrew Bogut",486892,NA,NA,NA,NA
65,"Jonah Bolden",1690000,NA,NA,NA,NA
66,"Isaac Bonga",1e+06,NA,NA,NA,NA
67,"Devin Booker",3314365,NA,NA,NA,NA
68,"Chris Bosh",26837720,NA,NA,NA,NA
69,"Chris Boucher",457418,NA,NA,NA,NA
70,"Avery Bradley",1.2e+07,NA,NA,NA,NA
71,"Tony Bradley",1679520,NA,NA,NA,NA
72,"Corey Brewer",2559925,NA,NA,NA,NA
73,"Mikal Bridges",3557400,NA,NA,NA,NA
74,"Miles Bridges",3206640,NA,NA,NA,NA
75,"Isaiah Briscoe",838464,NA,NA,NA,NA
76,"Ryan Broekhoff",838464,NA,NA,NA,NA
77,"Malcolm Brogdon",1544951,NA,NA,NA,NA
78,"MarShon Brooks",1656092,NA,NA,NA,NA
79,"Dillon Brooks",1378242,NA,NA,NA,NA
80,"Jaylen Brown",5169960,NA,NA,NA,NA
81,"Troy Brown",2752680,NA,NA,NA,NA
82,"Sterling Brown",1378242,NA,NA,NA,NA
83,"Bruce Brown",838464,NA,NA,NA,NA
84,"Lorenzo Brown",8e+05,NA,NA,NA,NA
85,"Jalen Brunson",1230000,NA,NA,NA,NA
86,"Thomas Bryant",1378242,NA,NA,NA,NA
87,"Reggie Bullock",2500000,NA,NA,NA,NA
88,"Trey Burke",1795015,NA,NA,NA,NA
89,"Alec Burks",11536515,NA,NA,NA,NA
90,"Deonte Burton",5e+05,NA,NA,NA,NA
91,"Jimmy Butler",19841627,NA,NA,NA,NA
92,"Bruno Caboclo",705361,NA,NA,NA,NA
93,"Jose Calderon",2393887,NA,NA,NA,NA
94,"Kentavious Caldwell-Pope",1.2e+07,NA,NA,NA,NA
95,"Isaiah Canaan",744671,NA,NA,NA,NA
96,"Clint Capela",15793104,NA,NA,NA,NA
97,"DeMarre Carroll",15400000,NA,NA,NA,NA
98,"Wendell Carter",4446840,NA,NA,NA,NA
99,"Vince Carter",2393887,NA,NA,NA,NA
100,"Jevon Carter",838464,NA,NA,NA,NA
101,"Michael Carter-Williams",1468082,NA,NA,NA,NA
102,"Alex Caruso",77250,NA,NA,NA,NA
103,"Omri Casspi",2176260,NA,NA,NA,NA
104,"Willie Cauley-Stein",4696874,NA,NA,NA,NA
105,"Troy Caupain",77250,NA,NA,NA,NA
106,"Tyler Cavanaugh",77250,NA,NA,NA,NA
107,"Tyson Chandler",13585000,NA,NA,NA,NA
108,"Wilson Chandler",12800562,NA,NA,NA,NA
109,"Joe Chealey",77250,NA,NA,NA,NA
110,"Chris Chiozza",137374,NA,NA,NA,NA
111,"Marquese Chriss",3206160,NA,NA,NA,NA
112,"Ian Clark",1757429,NA,NA,NA,NA
113,"Gary Clark",674122,NA,NA,NA,NA
114,"Jordan Clarkson",12500000,NA,NA,NA,NA
115,"Zach Collins",3628920,NA,NA,NA,NA
116,"John Collins",2299080,NA,NA,NA,NA
